Employee_ID,Project_ID,Entry_Date,Hours_Worked
1,14,2025-06-24,8
1,12,2025-06-26,1
2,10,2025-06-24,11
3,15,2025-06-24,7
3,11,2025-06-24,0
3,6,2025-06-24,6
4,7,2025-06-24,9
4,9,2025-06-27,6
5,6,2025-06-26,6
5,10,2025-06-26,3
5,1,2025-06-24,7
6,12,2025-06-23,6
6,10,2025-06-23,1
6,15,2025-06-27,3
6,13,2025-06-24,8
7,12,2025-06-25,11
8,13,2025-06-27,7
9,4,2025-06-27,8
9,3,2025-06-24,9
9,4,2025-06-23,9
9,12,2025-06-23,1
10,11,2025-06-25,9
10,2,2025-06-24,3
10,3,2025-06-25,9
10,13,2025-06-25,1
10,8,2025-06-24,8
11,12,2025-06-26,0
11,9,2025-06-27,5
12,10,2025-06-23,6
12,10,2025-06-26,9
12,13,2025-06-23,0
12,15,2025-06-23,5
13,7,2025-06-23,7
13,7,2025-06-23,9
14,9,2025-06-26,9
14,4,2025-06-25,3
14,4,2025-06-25,9
14,14,2025-06-26,6
14,15,2025-06-24,9
15,2,2025-06-23,11
16,7,2025-06-26,1
16,2,2025-06-23,6
16,6,2025-06-26,12
17,1,2025-06-26,7
17,8,2025-06-26,2
17,4,2025-06-27,5
17,7,2025-06-26,11
17,5,2025-06-26,3
18,1,2025-06-27,1
18,7,2025-06-26,11
18,5,2025-06-27,6
19,12,2025-06-24,3
19,3,2025-06-23,3
19,10,2025-06-23,5
19,7,2025-06-27,2
19,11,2025-06-24,9
20,13,2025-06-27,6
21,1,2025-06-26,5
22,13,2025-06-27,6
23,11,2025-06-26,4
23,11,2025-06-24,11
24,1,2025-06-24,5
25,7,2025-06-26,7
25,12,2025-06-23,12
25,14,2025-06-27,6
26,7,2025-06-23,6
27,11,2025-06-27,8
28,7,2025-06-23,11
29,12,2025-06-23,7
29,1,2025-06-24,10
29,12,2025-06-26,6
29,4,2025-06-26,1
30,6,2025-06-27,0
30,3,2025-06-27,10
30,6,2025-06-23,6
30,13,2025-06-25,7
30,4,2025-06-23,11
31,4,2025-06-27,3
31,8,2025-06-24,12
31,12,2025-06-27,6
32,10,2025-06-23,8
32,10,2025-06-23,0
32,15,2025-06-27,0
32,3,2025-06-26,5
32,1,2025-06-24,2
33,2,2025-06-26,8
33,9,2025-06-25,2
33,11,2025-06-27,4
33,8,2025-06-26,4
34,15,2025-06-23,4
35,9,2025-06-23,10
36,2,2025-06-25,10
37,12,2025-06-23,11
37,13,2025-06-24,12
37,14,2025-06-27,2
37,1,2025-06-24,4
37,1,2025-06-25,11
38,8,2025-06-24,6
38,12,2025-06-23,10
38,2,2025-06-24,11
38,5,2025-06-24,2
38,15,2025-06-23,2
39,8,2025-06-24,10
39,4,2025-06-27,9
39,9,2025-06-25,8
40,4,2025-06-24,8
40,11,2025-06-24,3
40,6,2025-06-23,6
40,5,2025-06-27,9
41,1,2025-06-26,2
41,12,2025-06-27,12
41,8,2025-06-25,1
42,10,2025-06-24,0
43,12,2025-06-26,5
43,12,2025-06-27,6
43,3,2025-06-26,7
43,2,2025-06-24,4
43,6,2025-06-24,3
44,14,2025-06-24,10
44,2,2025-06-27,7
45,1,2025-06-27,8
45,13,2025-06-23,5
45,8,2025-06-23,0
45,9,2025-06-25,9
46,10,2025-06-27,2
46,3,2025-06-24,6
46,3,2025-06-23,1
47,3,2025-06-24,2
47,6,2025-06-27,12
47,6,2025-06-27,4
47,7,2025-06-24,5
47,14,2025-06-24,12
48,9,2025-06-23,11
48,15,2025-06-23,9
48,13,2025-06-23,2
48,12,2025-06-27,6
49,6,2025-06-27,6
49,15,2025-06-27,9
49,8,2025-06-25,11
50,9,2025-06-26,12
51,6,2025-06-27,7
51,4,2025-06-24,6
52,13,2025-06-27,11
52,10,2025-06-25,12
52,15,2025-06-26,2
52,4,2025-06-26,12
52,3,2025-06-24,1
53,2,2025-06-24,10
54,14,2025-06-23,5
55,10,2025-06-25,7
55,5,2025-06-25,0
55,15,2025-06-25,12
55,11,2025-06-23,10
55,6,2025-06-23,2
56,9,2025-06-24,5
57,9,2025-06-26,5
58,11,2025-06-27,9
58,12,2025-06-23,9
58,2,2025-06-27,7
58,11,2025-06-24,12
59,8,2025-06-25,3
59,2,2025-06-24,7
59,8,2025-06-25,6
59,12,2025-06-27,4
60,13,2025-06-24,2
61,1,2025-06-27,10
62,13,2025-06-26,1
62,13,2025-06-24,12
62,5,2025-06-23,10
62,10,2025-06-23,5
63,5,2025-06-24,7
63,5,2025-06-24,1
63,2,2025-06-26,8
64,1,2025-06-24,2
64,8,2025-06-24,4
64,11,2025-06-25,9
65,6,2025-06-24,10
65,12,2025-06-25,12
66,9,2025-06-23,8
66,4,2025-06-24,2
66,4,2025-06-23,6
67,3,2025-06-23,6
68,7,2025-06-27,4
69,2,2025-06-26,9
69,11,2025-06-27,10
69,9,2025-06-25,9
69,2,2025-06-26,6
69,14,2025-06-25,2
70,2,2025-06-23,10
70,12,2025-06-27,12
71,9,2025-06-24,8
72,11,2025-06-26,5
72,10,2025-06-25,6
72,6,2025-06-24,7
73,12,2025-06-25,7
73,11,2025-06-27,7
73,10,2025-06-24,7
74,14,2025-06-24,4
74,8,2025-06-26,2
74,8,2025-06-26,0
74,4,2025-06-25,4
74,7,2025-06-24,9
75,8,2025-06-26,10
76,14,2025-06-25,0
77,10,2025-06-27,10
77,9,2025-06-23,12
77,7,2025-06-27,6
78,6,2025-06-24,10
79,6,2025-06-25,5
79,13,2025-06-23,6
79,14,2025-06-24,10
80,12,2025-06-27,9
80,2,2025-06-24,7
80,12,2025-06-26,1
80,4,2025-06-26,7
81,10,2025-06-26,6
82,9,2025-06-23,9
82,7,2025-06-23,10
83,10,2025-06-25,2
83,3,2025-06-24,9
83,2,2025-06-26,12
84,6,2025-06-25,12
84,11,2025-06-25,7
84,10,2025-06-24,7
84,15,2025-06-27,8
84,5,2025-06-26,8
85,15,2025-06-25,2
85,10,2025-06-27,9
86,15,2025-06-26,12
87,10,2025-06-23,4
88,4,2025-06-23,7
88,14,2025-06-27,6
88,4,2025-06-24,12
88,5,2025-06-25,12
89,7,2025-06-26,9
89,12,2025-06-25,2
89,5,2025-06-26,2
90,14,2025-06-26,1
90,8,2025-06-24,3
90,7,2025-06-25,3
90,12,2025-06-26,2
90,10,2025-06-23,11
91,2,2025-06-23,12
91,9,2025-06-25,12
91,12,2025-06-23,0
92,6,2025-06-27,8
92,6,2025-06-26,6
92,7,2025-06-24,3
92,15,2025-06-27,1
93,13,2025-06-25,11
93,6,2025-06-24,1
94,1,2025-06-26,2
95,3,2025-06-25,2
96,9,2025-06-23,3
96,6,2025-06-23,7
96,7,2025-06-23,5
97,7,2025-06-27,2
97,5,2025-06-27,5
97,2,2025-06-25,1
97,1,2025-06-27,1
98,11,2025-06-25,11
99,8,2025-06-25,6
100,9,2025-06-25,7
100,5,2025-06-26,4
101,10,2025-06-27,12
102,11,2025-06-24,6
102,1,2025-06-26,9
102,2,2025-06-24,4
102,8,2025-06-27,5
103,6,2025-06-23,10
103,14,2025-06-26,5
103,8,2025-06-24,7
104,1,2025-06-23,12
104,12,2025-06-25,9
104,9,2025-06-23,10
104,10,2025-06-24,10
104,13,2025-06-24,8
105,15,2025-06-25,6
105,7,2025-06-27,6
105,9,2025-06-27,9
106,4,2025-06-24,10
107,6,2025-06-26,3
107,5,2025-06-25,6
108,2,2025-06-27,12
108,4,2025-06-25,2
108,14,2025-06-27,4
108,8,2025-06-25,0
109,14,2025-06-27,5
109,2,2025-06-23,7
109,2,2025-06-23,10
110,14,2025-06-27,3
110,12,2025-06-27,8
110,5,2025-06-23,2
110,10,2025-06-25,12
110,1,2025-06-27,11
111,7,2025-06-27,8
112,10,2025-06-25,11
113,6,2025-06-23,5
113,12,2025-06-27,8
113,13,2025-06-26,9
114,14,2025-06-27,11
114,14,2025-06-26,3
114,8,2025-06-23,5
114,15,2025-06-25,8
115,6,2025-06-23,6
115,1,2025-06-24,4
115,5,2025-06-27,0
115,2,2025-06-24,4
116,11,2025-06-24,2
116,7,2025-06-26,1
116,14,2025-06-27,10
117,2,2025-06-24,0
117,3,2025-06-26,10
117,10,2025-06-25,11
117,8,2025-06-25,8
117,4,2025-06-27,7
118,2,2025-06-27,9
119,14,2025-06-26,0
119,7,2025-06-24,1
119,14,2025-06-23,4
120,10,2025-06-27,3
121,6,2025-06-25,11
122,3,2025-06-25,4
122,10,2025-06-27,5
122,14,2025-06-24,10
123,15,2025-06-25,3
123,7,2025-06-23,1
124,5,2025-06-25,5
124,14,2025-06-24,1
125,2,2025-06-27,10
126,14,2025-06-25,0
127,4,2025-06-27,5
128,12,2025-06-25,4
128,10,2025-06-25,12
128,14,2025-06-27,9
129,14,2025-06-25,6
129,6,2025-06-27,10
129,15,2025-06-24,2
130,6,2025-06-27,1
130,12,2025-06-25,11
130,13,2025-06-25,12
130,11,2025-06-25,7
131,14,2025-06-25,10
132,14,2025-06-23,8
133,2,2025-06-27,0
134,12,2025-06-24,2
134,1,2025-06-27,7
134,1,2025-06-26,7
135,11,2025-06-27,9
135,10,2025-06-25,7
135,3,2025-06-25,3
136,3,2025-06-26,11
136,5,2025-06-27,10
136,14,2025-06-25,1
137,1,2025-06-26,0
138,6,2025-06-26,12
138,1,2025-06-25,11
138,2,2025-06-23,8
138,8,2025-06-25,12
139,15,2025-06-26,7
139,5,2025-06-23,7
139,4,2025-06-26,0
140,3,2025-06-25,8
141,5,2025-06-24,10
141,11,2025-06-26,9
141,6,2025-06-24,10
142,14,2025-06-27,6
143,12,2025-06-27,9
143,5,2025-06-24,11
144,11,2025-06-24,12
144,8,2025-06-23,5
144,9,2025-06-27,8
145,2,2025-06-27,3
145,2,2025-06-23,8
145,6,2025-06-25,0
146,3,2025-06-23,4
147,3,2025-06-23,2
148,9,2025-06-23,3
148,1,2025-06-23,4
148,15,2025-06-27,1
148,12,2025-06-27,7
148,1,2025-06-25,5
149,3,2025-06-23,4
150,10,2025-06-25,0
150,6,2025-06-24,1
151,14,2025-06-23,0
151,15,2025-06-24,3
151,13,2025-06-26,2
152,9,2025-06-26,5
152,13,2025-06-24,0
152,9,2025-06-26,2
152,4,2025-06-26,6
153,2,2025-06-27,4
153,1,2025-06-24,10
153,15,2025-06-26,9
153,10,2025-06-27,11
153,3,2025-06-24,1
154,2,2025-06-25,6
154,4,2025-06-25,2
